label,nucleus_volume_um3,nucleus_sphericity,shell_gfap_mean,is_astrocyte_candidate
1,14.595329717424002,0.5090669686497223,4.940074906367041,False
2,300.86610367996803,0.6476498993028055,6.086527929901424,False
3,323.69840165376,0.6344815359478265,3.4014008620689653,False
4,53.901564203952006,0.7432008280286927,7.298418972332016,False
5,290.17249576819205,0.849864938621958,2.1256544502617802,False
6,350.14340500315205,0.9143372905422481,5.809911744738629,False
7,147.97641218457602,0.8888603973317393,4.767051416579224,False
8,400.43226383150403,0.6707705939855165,5.8173076923076925,False
9,325.86602487912006,0.9206366511368024,4.008953168044077,False
10,6.7918861061280005,0.6380143040459905,2.5838709677419356,False
11,500.4319486281121,0.84640840645042,4.543043275942299,False
12,447.10841728425606,0.8716737811763353,5.704991087344029,False
13,239.16109586472004,0.6706964088680841,5.445480631276901,False
14,413.8715278287361,0.8679131967508708,4.0586721564590835,False
15,6.213853246032,1.0,4.058536585365854,False
16,115.89558844924801,0.7611323716557157,4.674940898345153,False
17,41.90738235696001,0.6449864849475799,3.7631975867269984,False
18,133.09206603710402,0.6958497412180639,3.4320486815415823,False
19,212.42707608528002,0.7420778051341019,6.189894050529747,False
20,110.11525984828802,0.7127690123042346,2.469968387776607,False
21,187.71617131617603,0.8986931162329579,3.525139664804469,False
22,29.768692294944003,0.7455201584852572,2.3262548262548264,False
23,367.33988259100806,0.876865675988069,5.585378067100651,False
24,10.838116126800001,0.7119208443791637,5.585,False
25,271.386427815072,0.9079646858608857,6.336757153338224,False
26,542.6283474151201,0.8955899549367621,3.7284793325748957,False
27,487.57071749097605,0.9363205537654814,4.592821782178218,False
28,10.838116126800001,0.6466063885336267,2.13953488372093,False
29,32.658856595424005,0.7859662543946556,2.815686274509804,False
30,524.9983451821921,0.6114721128917745,5.211988304093567,False
31,457.51300876598407,0.8791548866087393,5.915735167669819,False
32,61.84951603027201,0.5306447364191293,3.027338129496403,False
33,242.77380124032004,0.5610866220150921,3.532258064516129,False
34,5.346803955888001,0.7290684533171354,2.3905109489051095,False
35,21.820740468624003,0.2912137123159778,1.9256559766763848,False
36,27.167544424512002,0.594578223110747,2.0,False
37,353.32258573368006,0.6642907721400659,4.227661596958175,False
38,7.514427181248001,0.909827097237396,2.345991561181435,False
39,24.421888339056004,0.5518821170608236,2.8979591836734695,False
40,244.21888339056002,0.8700390453355386,5.418520745640409,False
41,287.86036432780804,0.717643660258459,2.549368541905855,False
42,153.90124900056003,0.607440562925199,2.9794871794871796,False
43,267.62921422444805,0.7853749485376522,9.517045454545455,False
44,184.10346594057603,0.7978156651601122,5.447619047619048,False
45,202.02248460355202,0.8941025871024715,2.6379769299023956,False
46,35.693529110928004,0.6679848028685866,2.297872340425532,False
47,206.79125569934402,0.4565762798270678,2.8753351206434314,False
48,23.410330833888004,0.8162430010038394,2.5642737896494157,False
49,22.976806188816003,0.8637734519852416,3.0077220077220077,False
50,3.9017218056480005,1.0,2.918781725888325,False
51,454.33382803545607,0.559342505001054,3.241351888667992,False
52,206.21322283924803,0.8484801325169402,4.271685761047463,False
53,141.47354250849602,0.39234876389658774,4.551466666666666,False
54,310.54815408657606,0.9537694358686802,3.0991501416430594,False
55,229.91257010318404,0.685401336788076,3.251156642432254,False
56,176.87805518937603,0.8176867616236811,8.225448334756619,False
57,157.94747902123203,0.8883763264840936,12.42030456852792,False
58,411.55939638835207,0.9091938888456556,6.499764262140499,False
59,156.06887222592002,0.9108258195357043,4.086299892125135,False
60,731.5005844514881,0.8280348639124259,5.965964912280702,False
61,499.27588290792005,0.6155429600266619,3.3229166666666665,False
62,323.98741808380805,0.8209470658678554,3.9925373134328357,False
63,118.49673631968001,0.8447514170666376,0.7247474747474747,False
64,184.10346594057603,0.7722406459703562,3.8847117794486214,False
65,498.40883361777605,0.753234987297484,7.242216117216117,False
66,88.29451937966401,0.48151514490218406,4.5997624703087885,False
67,416.32816748414405,0.6228543781324105,3.7705117790414295,False
68,140.31747678830402,0.798473181316019,3.7205882352941178,False
69,36.705086616096004,0.8089530830278305,4.987244897959184,False
70,118.20771988963202,0.736929667785187,4.1820580474934035,False
71,425.43218503065606,0.7654515132056289,6.1166347992351815,False
72,196.24215600259203,0.6904237921957828,4.010703363914373,False
73,549.998266381344,0.7833642294045139,6.239852398523985,False
74,147.54288753950402,0.915307265605878,1.7023809523809523,False
75,68.49689392137601,0.6618089489335823,2.9303482587064678,False
76,43.930497367296006,0.6955221403964619,1.2203742203742203,False
77,755.0554235004001,0.8004374387436052,4.185330948121646,False
78,480.77883138484805,0.8411761541285301,4.1985882352941175,False
79,244.65240803563202,0.8958653903998268,3.7771701982228296,False
80,511.41457296993605,0.8527170907344511,5.395824271422358,False
81,469.3626823979521,0.8316555044977096,7.7829036635006785,False
82,173.98789088889603,0.8967055820000684,3.7874762808349147,False
83,415.89464283907205,0.6939050386129849,8.667557932263815,False
84,197.68723815283204,0.8859792486026499,7.901785714285714,False
85,134.10362354227203,0.881098130400457,2.796680497925311,False
86,414.59406890385605,0.6635225270761562,7.279343926191697,False
87,315.31692518236804,0.9075696421797376,4.870674985819625,False
88,551.0098238865121,0.7244715191022583,10.898809523809524,False
89,324.99897558897607,0.8971355558430812,11.38974358974359,False
90,148.84346147472002,0.8542752382875106,11.439664218258132,False
91,68.49689392137601,0.6744253492522366,3.0217391304347827,False
92,502.7440800684961,0.6598574699054262,4.524028416213957,False
93,199.56584494814402,0.8769494526267729,4.385899814471243,False
94,442.91767904856005,0.8568326479577284,3.8154681139755766,False
95,417.4842332043361,0.755342229051977,2.451063829787234,False
96,132.803049607056,0.6385110651305244,7.24,False
97,16.473936512736003,0.8724857967195527,7.133333333333334,False
98,629.3332764295201,0.8532440399473666,5.103631170950632,False
99,143.49665751883202,0.8956059362642006,1.8304761904761904,False
100,482.22391353508806,0.8792444981485081,5.115632754342432,False
101,402.45537884184006,0.6934794946604551,7.199311235471373,False
102,329.91225489979206,0.8457967402295511,17.89315789473684,False
103,209.53691178480003,0.9023132872647682,10.390625,False
104,411.41488817332805,0.8777748696876234,5.573176950535441,False
105,339.44979709137607,0.8820197745588774,4.460455037919827,False
106,21.098199393504004,0.5499439984289688,60.64102564102564,True
107,191.61789312182404,0.6869931946509551,5.835351089588378,False
108,77.31189503784002,0.8091725171985906,5.749603803486529,False
109,518.6399837211361,0.8915989370130777,24.383465259454706,True
110,55.20213813916801,0.7436135128914182,7.195357833655706,False
111,201.29994352843204,0.8996169637598088,2.6795716639209224,False
112,20.520166533408002,0.9532940997757563,17.917293233082706,False
113,341.03938745664004,0.7725424813201816,6.278447823807027,False
114,411.99292103342407,0.7860281258456052,12.461288827074641,False
115,34.24844696068801,0.8715479979735036,9.842857142857143,False
116,115.17304737412802,0.9020933903350723,7.085889570552148,False
117,452.5997294551681,0.8266747519385117,8.114496314496314,False
118,7.6589353962720015,0.9180172539525348,5.222222222222222,False
119,320.37471270820805,0.7727944671885368,24.906347554630592,True
120,35.838037325952,0.866759118766361,11.608142493638677,False
121,69.36394321152001,0.8265386873144305,7.055932203389831,False
122,168.06305407291202,0.8492657251173696,6.233905579399142,False
123,193.35199170211203,0.8447377384025914,7.820644216691069,False
124,35.54902089590401,0.4633388970420812,9.994557823129252,False
125,175.28846482411203,0.6221646412711952,3.523235800344234,False
126,399.70972275638405,0.9246857687029567,7.921710161021655,False
127,19.364100813216,0.6633091570006209,6.889632107023411,False
128,288.582905402928,0.8936772592977315,19.118523316062177,True
129,264.739049923968,0.8698521479630408,9.199881023200476,False
130,154.33477364563203,0.5718557531038572,5.611724723874256,False
