label,critical_radius_um,peak_intersections,auc
36,18.0,25.0,346.0
79,13.0,11.0,138.5
85,10.5,18.0,226.0
87,10.5,19.0,261.5
103,15.0,13.0,139.5
106,1.0,2.0,29.5
113,9.5,9.0,134.0
116,16.5,13.0,195.0
122,10.0,12.0,157.5
124,4.5,4.0,17.0
129,9.0,12.0,94.0
131,9.5,3.0,49.0
133,13.0,6.0,84.5
138,5.5,13.0,160.5
143,6.0,8.0,93.0
145,22.5,8.0,70.0
147,5.5,4.0,54.0
156,1.5,3.0,13.5
159,17.5,11.0,162.0
160,4.5,3.0,22.5
162,2.0,3.0,28.0
164,5.5,6.0,67.5
165,10.0,4.0,28.0
169,3.5,4.0,36.0
170,19.5,18.0,195.0
188,5.0,5.0,45.5
192,4.0,2.0,30.0
216,1.0,3.0,36.5
219,5.5,5.0,45.5
222,4.0,6.0,27.5
223,9.0,12.0,137.0
232,15.5,20.0,218.5
238,15.5,4.0,55.5
240,4.0,3.0,17.0
254,3.5,8.0,67.5
264,16.0,23.0,312.0
271,5.0,5.0,15.5
280,6.5,9.0,89.5
282,5.5,6.0,27.0
285,12.0,15.0,137.5
295,8.5,10.0,138.5
