label,critical_radius_um,peak_intersections,auc
14,13.0,10.0,95.0
24,9.5,13.0,86.5
29,4.0,7.0,42.0
31,2.5,8.0,36.0
36,4.5,10.0,36.0
39,6.5,8.0,38.5
42,5.5,5.0,29.0
52,5.0,4.0,17.5
59,6.0,6.0,84.0
73,8.0,6.0,52.5
88,5.5,4.0,18.5
89,6.5,2.0,8.0
91,5.5,12.0,39.0
94,5.0,5.0,22.5
97,4.5,4.0,6.5
100,5.0,6.0,9.0
101,7.0,6.0,18.0
105,3.5,2.0,5.5
106,4.5,6.0,28.5
108,4.5,4.0,11.0
109,4.0,10.0,59.5
110,2.5,6.0,24.5
114,5.0,7.0,34.5
115,6.5,6.0,27.0
117,4.0,7.0,26.5
123,7.0,3.0,17.0
174,6.5,3.0,29.0
185,3.5,7.0,16.0
186,0.0,0.0,0.0
187,2.5,5.0,50.5
194,7.0,9.0,83.5
198,10.0,4.0,23.5
213,3.0,4.0,23.5
214,3.0,5.0,31.5
237,7.5,10.0,54.0
