label,critical_radius_um,peak_intersections,auc
81,2.0,4.0,31.0
82,2.5,4.0,28.5
144,5.0,2.0,9.5
156,3.5,1.0,0.5
172,8.5,6.0,35.5
175,8.0,11.0,128.5
183,6.5,9.0,80.5
184,3.0,5.0,8.5
189,8.5,5.0,50.5
193,6.5,4.0,7.5
194,4.0,3.0,13.0
195,8.5,8.0,71.0
197,9.5,16.0,121.0
205,3.0,8.0,18.0
206,9.0,11.0,104.0
209,6.5,4.0,22.0
212,8.5,10.0,71.5
213,10.0,8.0,78.5
215,3.5,3.0,16.0
216,11.0,10.0,107.5
217,9.0,11.0,72.5
218,10.5,7.0,95.5
221,6.0,7.0,69.5
223,9.0,6.0,33.5
224,2.5,5.0,30.0
225,13.0,7.0,54.5
227,4.0,5.0,36.5
230,4.5,5.0,25.0
232,6.0,5.0,27.0
250,5.5,11.0,64.5
252,5.5,10.0,48.0
264,12.5,6.0,43.0
267,4.5,6.0,25.5
268,7.5,7.0,23.0
293,6.5,6.0,51.0
295,4.5,4.0,11.0
312,9.0,18.0,156.0
314,11.0,11.0,146.5
315,5.5,6.0,43.0
316,2.5,3.0,14.0
345,6.5,10.0,108.5
346,5.5,8.0,48.5
347,18.5,7.0,59.0
348,4.5,4.0,17.5
369,3.5,3.0,8.5
377,12.5,14.0,109.0
387,11.5,5.0,81.0
391,7.5,10.0,49.5
