label,critical_radius_um,peak_intersections,auc
70,6.5,6.0,50.0
71,4.5,3.0,12.5
78,2.5,6.0,13.5
79,3.5,7.0,39.0
80,4.0,6.0,20.5
90,1.0,4.0,24.5
91,5.0,5.0,20.0
93,3.5,5.0,30.0
94,2.5,4.0,22.0
96,0.5,3.0,15.5
106,3.0,4.0,24.5
109,2.5,5.0,51.0
110,4.5,6.0,37.5
114,3.5,7.0,12.5
120,5.0,7.0,79.5
122,2.0,5.0,31.0
125,4.0,7.0,14.5
131,5.0,9.0,49.5
134,6.0,8.0,51.0
136,6.5,6.0,19.0
137,6.5,6.0,10.0
138,5.5,2.0,6.0
140,6.5,9.0,38.5
141,6.5,9.0,46.5
145,5.5,10.0,28.5
166,3.0,5.0,20.0
168,3.5,5.0,35.5
169,8.0,5.0,27.5
196,4.0,4.0,12.0
197,2.5,6.0,24.0
198,2.5,6.0,46.5
206,5.5,6.0,43.5
208,6.5,9.0,73.5
215,1.5,3.0,20.0
225,1.0,2.0,8.0
