label,critical_radius_um,peak_intersections,auc
2,15.0,7.0,75.0
3,5.0,2.0,25.0
6,5.0,2.0,20.0
8,5.0,2.0,30.0
11,10.0,10.0,175.0
28,25.0,8.0,155.0
42,25.0,13.0,265.0
44,10.0,6.0,115.0
68,15.0,6.0,110.0
69,5.0,2.0,25.0
74,5.0,2.0,30.0
87,10.0,6.0,75.0
88,20.0,15.0,260.0
151,10.0,14.0,130.0
152,5.0,2.0,10.0
153,5.0,2.0,20.0
168,5.0,4.0,35.0
169,5.0,2.0,15.0
171,5.0,2.0,10.0
173,10.0,5.0,80.0
188,20.0,4.0,70.0
202,5.0,5.0,60.0
208,10.0,11.0,210.0
209,5.0,5.0,85.0
211,10.0,7.0,135.0
218,5.0,3.0,45.0
220,20.0,14.0,270.0
234,5.0,3.0,30.0
236,20.0,6.0,95.0
247,20.0,8.0,175.0
248,30.0,6.0,140.0
