label,critical_radius_um,peak_intersections,auc
31,3.5,4.0,11.0
38,1.5,4.0,9.5
40,5.0,8.0,39.5
43,3.0,3.0,12.5
44,3.0,4.0,18.0
52,3.5,6.0,24.0
53,4.5,6.0,29.5
54,3.5,4.0,36.5
57,8.0,10.0,70.0
60,7.5,11.0,141.5
64,5.5,3.0,12.0
69,12.5,6.0,45.0
84,14.5,16.0,126.5
89,5.0,8.0,68.5
95,8.0,10.0,47.5
98,7.0,12.0,80.0
101,11.0,15.0,189.5
104,13.0,18.0,242.5
107,10.0,12.0,125.0
113,14.0,5.0,45.5
125,4.5,10.0,134.5
134,3.0,8.0,77.0
190,5.0,6.0,54.0
192,12.5,14.0,130.5
194,9.0,5.0,35.5
213,3.0,5.0,20.5
215,11.0,9.0,110.0
217,14.0,8.0,59.0
222,12.5,11.0,129.5
253,2.0,6.0,23.5
255,8.0,6.0,45.5
266,8.0,5.0,26.0
277,4.0,5.0,30.0
278,3.5,3.0,12.0
282,11.5,13.0,71.5
283,5.0,6.0,71.0
296,8.0,8.0,57.0
299,2.5,3.0,24.0
