label,critical_radius_um,peak_intersections,auc
20,12.0,11.0,122.5
21,8.0,4.0,20.5
29,8.0,15.0,112.5
34,12.5,6.0,42.5
39,8.5,14.0,128.5
40,5.0,11.0,115.0
42,10.5,6.0,61.5
52,7.0,13.0,112.0
59,14.5,10.0,124.5
62,4.0,6.0,31.0
81,8.5,13.0,139.0
86,6.0,9.0,79.5
87,8.0,10.0,89.0
89,9.5,15.0,169.5
93,10.0,10.0,78.5
99,9.5,10.0,83.5
100,8.5,16.0,148.5
110,9.0,11.0,120.0
120,6.0,9.0,91.5
123,8.5,5.0,36.0
134,5.0,8.0,47.5
137,5.5,11.0,77.5
151,11.0,16.0,144.0
156,10.0,8.0,98.5
191,7.0,15.0,99.0
199,3.5,8.0,47.0
207,8.0,12.0,145.0
227,19.0,12.0,142.5
229,8.0,8.0,100.5
231,3.0,9.0,76.5
233,10.5,10.0,121.5
238,5.5,8.0,123.5
241,9.0,7.0,59.0
242,6.5,10.0,88.0
243,8.0,8.0,78.0
245,4.0,6.0,31.5
261,7.0,7.0,47.0
262,9.0,11.0,121.5
