label,critical_radius_um,peak_intersections,auc
22,18.5,7.0,69.0
26,3.5,6.0,37.5
35,11.0,8.0,30.5
40,2.5,4.0,15.0
54,2.5,5.0,30.5
58,5.0,9.0,38.5
59,6.5,7.0,67.0
64,6.0,8.0,44.0
68,1.5,4.0,9.5
73,15.5,5.0,44.5
85,4.5,7.0,58.0
88,4.5,3.0,23.5
93,3.0,6.0,32.0
96,3.5,4.0,6.5
125,3.0,6.0,38.5
132,2.5,8.0,67.5
138,3.0,4.0,15.5
147,3.0,1.0,3.5
153,3.0,4.0,13.5
161,3.5,8.0,79.0
162,6.5,5.0,49.5
170,6.5,5.0,17.0
174,7.5,5.0,53.0
214,16.5,9.0,57.0
218,3.5,5.0,10.5
222,5.0,7.0,35.0
224,2.5,6.0,27.5
244,9.0,6.0,33.0
248,10.5,9.0,72.0
249,5.5,8.0,76.0
265,10.5,10.0,94.5
266,8.0,11.0,67.0
273,19.5,14.0,131.0
275,2.0,4.0,53.5
276,21.5,13.0,150.5
293,8.0,8.0,92.5
295,4.0,6.0,38.0
298,8.5,14.0,103.5
299,1.5,5.0,47.0
300,2.5,3.0,9.5
310,2.5,7.0,16.0
311,2.0,4.0,35.5
315,5.5,10.0,43.0
316,9.5,12.0,111.0
317,3.0,4.0,9.0
