label,nucleus_volume_um3,nucleus_sphericity,shell_gfap_mean,dist_to_border_um,is_near_border,is_astrocyte_candidate
1,502.3105554234241,0.7796270789523089,8.444851716094636,3.0150344073647872,True,False
2,303.32274333537606,0.9163020000394457,32.802018348623854,4.971140924249643,True,False
3,379.33406443800004,0.8727135428791752,17.88439921008659,4.703758019047619,True,False
4,399.8542309714081,0.8321548124762791,25.806699615595825,6.430975352367185,True,False
5,109.53722698819202,0.6954484955081975,7.454523695548109,4.69502110817942,True,False
6,289.449954693072,0.8716836053257654,12.074438634266379,5.784879281078383,True,False
7,169.65264443817603,0.8239925266710922,7.004523181304184,8.513642930153322,True,False
8,145.95329717424002,0.777912343956822,17.490586932447396,9.816170693069308,True,False
9,191.90690955187202,0.8260401916444687,16.8062015503876,13.197814156626507,True,False
10,50.288858828352005,0.8544096014073551,12.452371301175516,12.71701264367816,True,False
11,315.75044982744004,0.7167559730262101,5.876745860331173,17.199080274599545,True,False
12,539.304658469568,0.7552284508386167,10.00852206397385,20.451647481243302,True,False
13,419.94087285974405,0.6427605837798837,15.564508616674429,22.47094783207158,True,False
14,145.664280744192,0.7281096731478992,13.101233418664185,27.702004761904764,True,False
15,262.57142669860804,0.8221018804133988,50.98446400828586,30.693640726472207,True,False
16,409.68078959304006,0.6596201289086366,77.60384110700227,11.259111816578484,True,False
17,414.3050524738081,0.8157279961503059,83.91477272727273,31.90944080920823,True,False
18,356.21275003416,0.8681253231638096,75.26204318936877,34.52458498985801,True,False
19,303.61175976542404,0.8835069773439761,73.52824768592403,34.5661761066159,True,False
20,60.259925665008005,0.8039890503341187,35.25157232704402,29.894314628297366,True,False
21,43.063448077152,0.8946747694263826,21.176943699731904,36.629197315436244,True,False
22,352.31102822851204,0.8673375507995521,27.12137788290952,39.326214273995085,True,False
23,206.64674748432003,0.7079736907157974,5.387366222918298,1.8370475524475527,True,False
24,295.51929972408004,0.7513798847311619,74.22186046511628,45.086276381418095,False,True
25,242.34027659524804,0.744527254850565,6.067913071268776,9.503881932021468,True,False
26,652.5990990483841,0.7558400051380322,8.496252927400468,47.882635075287865,False,False
27,218.92994576136002,0.7073887660510287,17.29635400436273,52.39291564356436,False,False
28,330.92381240496,0.8674569895709332,9.28087052515376,52.41549886462882,False,False
29,382.94676981360004,0.8344717905321126,56.25930644019816,55.63800105660378,False,True
30,37.86115233628801,0.9825913439124124,110.78534523250352,57.27109007633588,False,True
31,123.98804849059202,0.68811804672057,24.757781418207347,8.319472261072248,True,False
32,245.51945732577605,0.8180982744870754,90.87823118192163,60.888922895821075,False,True
33,323.40938522371204,0.8573035904167325,113.25161488772686,60.72174155495979,False,True
34,279.18987142636803,0.8752060654330704,72.47195141441586,60.951900207039344,False,True
35,28.468118359728003,0.7484889028276561,15.00594353640416,63.421118781725895,False,False
36,375.43234263235206,0.6684981500749017,76.1537157389093,65.90915873749037,False,True
37,181.06879342507202,0.6824279212136868,22.612718964204113,71.69296376695931,False,False
38,16.040411867664,1.0,89.87865022712525,55.60852252252254,False,True
39,76.44484574769601,0.797147559122107,16.8078677309008,72.13669565217391,False,False
40,29.190659434848005,0.9180049563334147,24.816675037669512,73.12715247524753,False,False
41,220.51953612662402,0.7426918783429965,18.01071016641951,73.46312162516382,False,False
42,507.80186759433604,0.9038439383678175,65.32579614064164,53.199193739328415,False,True
43,17.485494017904003,0.862063693936224,119.35731414868106,31.468575206611593,True,False
44,220.08601148155202,0.8463089348466192,19.906725663716813,75.68812002626396,False,False
45,428.17784111611206,0.6837759489647303,13.610881450860115,80.6714878164023,False,False
46,377.16644121264005,0.8514486191682586,20.871190623072177,85.0285538697318,False,False
47,384.1028355337921,0.8883763264840936,82.68633264156537,9.461021670428883,True,False
48,365.46127579569605,0.443957020898276,15.509425785482124,83.81081059707395,False,False
49,42.051890571984,0.6715796048291097,20.84963913392141,85.71423917525775,False,False
50,24.710904769104005,0.6840107762889721,20.361691542288558,69.31153918128655,False,False
51,66.32927069601601,0.7588696181797077,34.19182491149019,86.49844357298475,False,True
52,137.86083713289602,0.7881628689668642,7.503075571177504,89.87208679245283,False,False
53,132.94755782208003,0.4238060524205508,8.829367897727273,91.70006869565218,False,False
54,428.7558739762081,0.8418232796620471,22.836349121873337,96.27750347152006,False,False
55,468.64014132283205,0.6209426938679867,11.555470038482683,97.88376552574778,False,False
56,384.5363601788641,0.7608720044365126,12.715411445549671,53.04025644494551,False,False
57,289.883479338144,0.5036655871644835,31.010636982065552,99.15344925224328,False,True
58,117.19616238446402,0.5404072756276925,21.993198874296436,78.56059778051788,False,False
59,401.15480490662407,0.7401306419927227,10.37449629533342,29.7098734870317,True,False
60,46.387137022704,0.6420232828147086,40.25771662328003,103.05484112149534,False,True
61,418.7848071395521,0.7196872014581172,14.603982592641435,47.593122153209116,False,False
62,253.75642558214403,0.9157953489064422,48.106433542692244,17.78547972665147,True,False
63,17.340985802880002,0.7456490443662258,16.235191637630663,31.380423333333347,True,False
64,249.42117913142403,0.894485041163223,13.10616498851793,41.15795874855155,False,False
65,667.0499205507841,0.729320930426658,48.40726869191289,6.331852079722712,True,False
66,297.542414734416,0.9442733620418516,11.914308811641067,53.11865118989801,False,False
67,451.2991555199521,0.7797374253263875,12.624416605256693,62.46840166506565,False,False
68,389.01611484460807,0.6643266497947354,11.39307128580946,79.63102080237742,False,False
69,474.7094863538401,0.4146088133830167,18.252058460271716,116.57999537290716,False,False
70,475.28751921393604,0.6433829418450062,8.971343077454252,90.91153931286105,False,False
71,110.40427627833601,0.7553901466044914,14.15281173594132,116.76857068062829,False,False
72,94.07484798062401,0.4869949434266803,18.986587183308494,110.55257634408603,False,False
73,189.59477811148804,0.9105456584009506,11.355472404115996,81.02682134146343,False,False
74,8.670492901440001,0.8166745604731857,59.012135922330096,6.875219999999992,True,False
75,560.6918742931201,0.8075064102067212,17.641536429672023,118.21156927835051,False,False
76,296.2418407992,0.7053897711975585,15.188036480686696,63.02659180487805,False,False
77,209.97043642987202,0.7377575809601185,39.58459512837393,47.051235512732276,False,True
78,363.871685430432,0.7411556833957521,14.314928169893816,117.55993312152502,False,False
79,520.663098731472,0.5868668280133318,9.738587469828943,99.58087427144048,False,False
80,166.617971922672,0.7622587552355468,63.97863662847155,43.43321457068518,False,True
81,322.25331950352006,0.8205860098479855,11.784342471778332,109.85115067264576,False,False
82,398.69816525121604,0.5450944415859262,26.211553891414816,96.66003943457777,False,True
83,297.108890089344,0.6343510391509187,18.7940876656473,127.8011505836576,False,False
84,277.311264631056,0.685083714306044,15.391937619538032,107.38930651380926,False,False
85,45.953612377632005,0.7622587552355471,23.21420210690597,130.89326792452832,False,False
86,42.77443164710401,0.7408538148209749,16.03696925329429,64.70441486486486,False,False
87,49.13279310816001,0.5408771781704765,17.015540296349837,135.76414823529413,False,False
88,77.02287860779201,0.6498050259072067,9.892134831460675,136.70842251407132,False,False
89,514.160229055392,0.7872251960320067,17.12701482914249,122.17684035975266,False,False
90,494.79612824217605,0.5471616788041025,13.600671868227135,138.91195619158879,False,False
91,267.918230654496,0.6731671274126845,17.59181353041501,138.7480653721683,False,False
92,220.95306077169602,0.8634916924403273,15.954537254194479,26.093844865925455,True,False
93,253.46740915209602,0.4419227349950945,23.58312911131175,142.83783489167618,False,False
94,327.31110702936,0.739800474419026,52.15090857467348,84.06215876379692,False,True
95,278.46733035124805,0.7691844761931467,7.579864186595808,146.83424203425014,False,False
96,9.971066836656002,0.6227620303911986,24.739436619718308,41.47036521739132,False,False
97,269.07429637468806,0.8177007632537946,5.4880514705882355,137.17686616541354,False,False
98,574.2756465053761,0.7114096270426166,6.035384124960153,121.63178399597383,False,False
99,3.6127053756000005,0.9193856936786339,34.59477124183007,145.24707200000003,False,True
100,462.42628807680006,0.7601206377470126,61.669924420119884,113.48646762499999,False,True
101,247.97609698118404,0.7826630905473613,9.401328413284133,112.30382494172495,False,False
102,306.212907635856,0.530294874494183,7.157930198086511,78.40623709296838,False,False
103,344.79660104726406,0.9065125418428018,11.596931248155798,35.47320704107294,True,False
104,113.58345700886402,0.9190555705995419,4.853314527503526,2.822686513994911,True,False
105,319.79667984811203,0.7350238619183185,9.795743541694552,97.49572544057841,False,False
106,510.11399903472005,0.771029688172835,6.42433234421365,45.458038866855524,False,False
107,515.460802990608,0.5002131682898263,19.88578160213071,153.48716882534345,False,False
108,265.02806635401606,0.5023150056569902,8.088453747467927,105.8062342420938,False,False
109,310.98167873164806,0.8919113331942072,7.186485642946317,29.37319405204461,True,False
110,79.19050183315201,0.7810694402751504,7.449952933793536,17.943230656934308,True,False
111,517.7729344309921,0.7011874716070213,9.867060396701582,79.00226581077311,False,False
112,578.6108929560961,0.7676762940764426,7.732695499365421,26.41515064935065,True,False
113,172.10928409358402,0.8583286368265236,63.986695278969954,161.64264282115872,False,True
114,6.647377891104001,0.9453496097333655,2.7940647482014387,55.741243478260884,False,False
115,378.756031577904,0.800484319126646,7.551131928181109,33.56694070965279,True,False
116,79.913042908272,0.8609960927107336,7.872267332916927,51.48049547920432,False,False
117,344.21856818716805,0.8155598904723503,27.144898586355254,169.29402115869016,False,True
118,251.29978592673604,0.8007996987303607,18.375213383407306,174.5503429557217,False,False
119,369.65201403139207,0.6985020662764161,15.722326203208556,181.67621172791246,False,False
120,396.09701738078405,0.7161800362679667,11.33263701155075,185.2636035023714,False,False
121,152.60067506534403,0.7927868619573704,42.46804080782844,180.89063106060607,False,True
