label,critical_radius_um,peak_intersections,auc
24,13.5,15.0,174.0
29,3.0,6.0,61.0
32,12.0,9.0,106.0
33,11.0,5.0,62.5
34,17.5,11.0,119.5
36,7.0,7.0,51.5
42,10.5,6.0,45.0
51,13.5,14.0,139.0
57,14.0,14.0,135.0
60,12.5,17.0,97.5
77,1.0,2.0,15.5
80,18.0,9.0,117.5
82,4.0,6.0,19.5
94,12.0,10.0,123.5
100,8.5,12.0,132.0
113,3.5,3.0,16.0
117,2.5,3.0,8.0
121,4.5,4.0,11.5
123,6.0,4.0,21.5
128,8.5,12.0,79.5
131,7.5,11.0,58.5
136,8.0,8.0,39.5
152,10.5,12.0,95.5
154,3.0,4.0,36.0
155,8.5,10.0,68.0
162,1.5,3.0,8.5
167,10.5,14.0,59.0
171,3.5,5.0,83.0
173,8.0,12.0,72.5
176,3.5,6.0,23.5
177,2.5,9.0,56.0
178,8.0,13.0,120.0
241,5.0,5.0,46.0
262,5.0,7.0,40.0
263,6.5,8.0,68.0
269,11.0,13.0,131.5
270,12.5,9.0,124.5
272,5.0,8.0,55.5
279,8.5,6.0,44.5
280,9.5,8.0,51.5
309,20.5,10.0,103.5
314,12.5,7.0,63.5
336,9.0,15.0,129.5
337,9.0,13.0,88.5
350,3.0,5.0,27.5
351,4.0,5.0,36.5
359,5.5,8.0,81.0
364,5.0,9.0,78.0
