label,critical_radius_um,peak_intersections,auc
2,16.0,13.0,115.0
3,3.0,3.0,38.0
5,18.0,5.0,43.0
6,7.0,3.0,27.0
8,4.0,5.0,37.0
11,14.0,14.0,134.0
28,19.0,10.0,132.0
29,9.0,11.0,122.0
41,2.0,3.0,19.0
44,8.0,11.0,119.0
46,4.0,2.0,4.0
52,16.0,8.0,128.0
64,6.0,5.0,32.0
67,7.0,9.0,90.0
68,6.0,5.0,44.0
72,5.0,5.0,50.0
80,1.0,2.0,11.0
85,8.0,12.0,87.0
86,6.0,8.0,58.0
114,4.0,6.0,21.0
152,10.0,18.0,194.0
154,4.0,6.0,54.0
156,21.0,14.0,194.0
169,2.0,3.0,17.0
170,5.0,4.0,27.0
172,2.0,4.0,12.0
174,10.0,9.0,104.0
191,20.0,5.0,62.0
194,4.0,4.0,39.0
204,5.0,8.0,60.0
213,11.0,15.0,183.0
214,4.0,10.0,106.0
216,9.0,10.0,96.0
217,13.0,6.0,55.0
219,10.0,11.0,88.0
223,15.0,9.0,76.0
225,16.0,16.0,228.0
228,1.0,2.0,21.0
238,8.0,6.0,49.0
241,20.0,10.0,148.0
250,22.0,13.0,189.0
251,21.0,12.0,142.0
