label,critical_radius_um,peak_intersections,auc
235,0.5,2.0,2.0
244,5.5,10.0,61.0
251,1.5,3.0,16.5
256,5.0,10.0,40.5
261,6.0,10.0,47.5
262,6.0,6.0,37.0
263,5.0,7.0,34.5
266,20.0,12.0,162.5
268,6.0,8.0,40.0
269,2.0,6.0,38.0
270,4.0,6.0,47.0
271,5.5,8.0,38.0
273,9.5,10.0,66.0
274,10.0,6.0,43.0
275,2.5,3.0,17.5
367,6.0,5.0,16.5
368,9.0,4.0,32.5
369,3.5,2.0,4.0
405,5.5,6.0,58.0
407,2.0,6.0,43.5
408,5.5,6.0,34.0
410,5.5,7.0,39.0
445,7.5,5.0,44.5
447,8.5,4.0,25.5
448,4.0,9.0,47.0
472,5.0,5.0,25.5
481,4.0,10.0,27.0
533,6.0,10.0,46.5
534,5.0,9.0,52.0
536,7.5,7.0,31.0
537,6.0,6.0,31.5
593,2.5,5.0,25.5
596,3.0,5.0,53.0
