label,critical_radius_um,peak_intersections,auc
73,3.0,4.0,29.5
94,23.0,13.0,129.5
97,5.0,8.0,40.0
99,10.5,10.0,58.0
104,12.5,10.0,134.0
105,5.5,5.0,29.0
106,7.0,6.0,43.5
107,2.5,6.0,24.5
108,21.5,8.0,75.5
109,4.0,5.0,53.0
110,15.0,6.0,32.5
111,12.5,17.0,191.0
114,10.0,3.0,30.0
116,10.5,8.0,91.0
117,7.0,4.0,16.5
118,6.5,6.0,79.5
168,9.0,16.0,112.5
169,13.5,5.0,35.0
199,5.0,6.0,57.0
201,3.5,9.0,75.0
202,15.0,12.0,160.0
203,9.0,9.0,87.0
216,2.5,8.0,26.0
243,5.0,6.0,29.0
245,14.5,8.0,101.5
257,3.0,5.0,12.0
258,2.0,5.0,40.5
264,3.0,5.0,27.5
