label,critical_radius_um,peak_intersections,auc
5,3.5,9.0,88.0
7,4.0,4.0,17.5
9,3.5,5.0,42.5
11,6.5,12.0,89.5
13,10.5,10.0,114.0
41,5.0,6.0,38.0
49,1.5,5.0,22.5
53,3.0,4.0,17.5
59,3.0,7.0,29.0
60,4.5,10.0,59.5
69,5.0,5.0,18.0
72,2.5,4.0,11.5
88,14.5,7.0,73.5
166,8.0,18.0,214.0
170,2.5,8.0,64.0
176,2.0,4.0,20.0
191,6.5,12.0,95.5
192,10.0,13.0,161.5
195,12.0,8.0,75.5
206,15.5,6.0,56.0
207,9.0,10.0,70.0
222,8.0,7.0,60.5
226,3.0,5.0,18.0
238,5.5,7.0,101.5
239,3.5,10.0,110.0
241,7.0,12.0,128.0
242,3.5,5.0,17.5
259,3.5,4.0,18.5
