label,critical_radius_um,peak_intersections,auc
2,20.0,10.0,195.0
24,5.0,1.0,20.0
25,15.0,13.0,330.0
39,5.0,4.0,60.0
50,5.0,4.0,35.0
62,5.0,1.0,5.0
63,15.0,4.0,40.0
69,5.0,1.0,5.0
71,5.0,2.0,20.0
74,15.0,9.0,235.0
76,10.0,9.0,105.0
78,25.0,11.0,300.0
81,10.0,2.0,15.0
88,5.0,2.0,20.0
92,5.0,2.0,10.0
93,5.0,2.0,15.0
94,15.0,5.0,80.0
97,5.0,2.0,10.0
106,30.0,18.0,375.0
107,20.0,7.0,145.0
117,25.0,6.0,110.0
127,10.0,3.0,45.0
128,25.0,7.0,115.0
134,25.0,7.0,130.0
141,20.0,4.0,80.0
143,5.0,2.0,25.0
153,5.0,2.0,25.0
155,25.0,9.0,140.0
156,5.0,3.0,15.0
157,5.0,2.0,20.0
160,5.0,2.0,10.0
161,5.0,2.0,40.0
162,5.0,2.0,10.0
164,5.0,4.0,30.0
165,35.0,10.0,240.0
173,10.0,4.0,40.0
175,10.0,3.0,75.0
192,5.0,2.0,15.0
198,5.0,1.0,10.0
218,5.0,3.0,25.0
221,5.0,3.0,25.0
224,5.0,4.0,35.0
238,15.0,11.0,290.0
244,5.0,3.0,45.0
246,5.0,2.0,10.0
247,5.0,3.0,15.0
248,15.0,4.0,60.0
250,20.0,5.0,90.0
257,5.0,1.0,5.0
263,5.0,3.0,25.0
265,35.0,21.0,405.0
275,10.0,9.0,160.0
276,5.0,2.0,10.0
293,20.0,11.0,200.0
295,5.0,3.0,20.0
302,15.0,16.0,265.0
