label,critical_radius_um,peak_intersections,auc
4,2.0,4.0,13.0
5,14.0,8.0,74.0
8,16.5,13.0,141.5
13,11.5,11.0,110.0
15,16.5,11.0,99.0
16,13.5,23.0,220.5
18,5.5,7.0,68.0
21,10.0,14.0,139.5
22,11.0,15.0,149.0
25,14.0,15.0,156.0
26,11.0,16.0,177.5
27,6.5,6.0,34.0
28,9.5,10.0,89.0
34,6.0,11.0,124.5
35,9.0,10.0,84.0
36,9.0,6.0,55.0
38,20.5,10.0,127.5
39,12.0,12.0,92.5
41,11.0,20.0,148.0
42,7.0,13.0,152.5
46,9.0,9.0,37.0
49,3.0,5.0,11.0
50,5.0,11.0,67.5
57,8.5,8.0,81.0
59,4.0,7.0,54.0
60,4.5,7.0,47.0
62,4.0,7.0,27.0
117,9.0,12.0,70.0
118,4.5,7.0,62.5
121,5.5,8.0,14.5
135,9.0,7.0,51.0
136,10.0,11.0,76.0
138,11.5,15.0,155.5
153,5.5,8.0,132.5
155,10.5,5.0,45.5
159,4.5,8.0,87.5
160,2.0,4.0,17.5
164,20.5,16.0,119.5
177,6.5,7.0,65.5
178,3.0,3.0,31.0
181,4.0,6.0,30.5
182,3.0,4.0,11.5
221,9.0,15.0,200.0
222,6.5,10.0,120.0
226,10.5,20.0,168.5
228,13.5,15.0,206.5
246,11.0,16.0,191.0
