label,critical_radius_um,peak_intersections,auc
162,9.5,16.0,139.0
170,9.5,9.0,79.0
173,6.0,13.0,121.5
177,3.0,6.0,19.0
179,12.5,10.0,91.0
180,4.5,12.0,139.5
186,13.0,6.0,75.5
189,3.0,1.0,1.0
190,3.5,5.0,32.5
191,3.5,6.0,20.0
199,6.0,10.0,77.0
201,5.0,9.0,89.5
205,1.5,4.0,33.0
206,5.5,6.0,55.5
207,3.5,5.0,26.0
209,5.5,9.0,64.0
213,10.0,5.0,22.5
214,6.0,5.0,47.5
217,3.5,8.0,56.0
218,12.0,14.0,176.5
222,3.0,3.0,14.5
228,16.0,12.0,123.0
243,3.5,6.0,33.5
252,12.5,10.0,79.5
253,12.0,6.0,26.5
254,7.5,9.0,57.5
256,3.0,8.0,33.0
272,11.0,8.0,30.0
288,2.5,4.0,11.0
298,14.5,9.0,63.5
315,6.5,11.0,98.5
329,6.0,7.0,69.0
