label,critical_radius_um,peak_intersections,auc
3,4.0,5.0,61.0
7,8.0,7.0,41.0
8,2.0,2.0,10.0
10,9.0,6.0,48.0
20,5.0,4.0,16.0
24,4.0,5.0,34.0
25,6.0,4.0,34.0
30,8.0,7.0,68.0
44,9.0,11.0,95.0
62,23.0,7.0,68.0
68,4.0,4.0,15.0
84,4.0,5.0,17.0
85,2.0,5.0,42.0
86,4.0,7.0,29.0
89,3.0,14.0,62.0
91,7.0,8.0,78.0
92,1.0,2.0,7.0
93,14.0,6.0,54.0
100,10.0,3.0,33.0
106,2.0,2.0,6.0
107,3.0,1.0,2.0
112,4.0,4.0,28.0
124,4.0,10.0,55.0
333,7.0,9.0,72.0
334,8.0,10.0,79.0
336,3.0,8.0,32.0
358,3.0,6.0,37.0
359,6.0,3.0,9.0
361,6.0,6.0,48.0
364,4.0,5.0,35.0
380,6.0,9.0,80.0
383,12.0,7.0,79.0
385,2.0,3.0,4.0
394,3.0,11.0,54.0
423,2.0,5.0,35.0
425,6.0,7.0,67.0
448,4.0,3.0,9.0
