label,critical_radius_um,peak_intersections,auc
5,5.0,2.0,15.0
8,5.0,1.0,10.0
10,5.0,3.0,30.0
30,5.0,3.0,25.0
33,5.0,3.0,30.0
40,5.0,2.0,20.0
42,5.0,2.0,20.0
45,5.0,1.0,5.0
46,10.0,4.0,35.0
51,5.0,4.0,25.0
53,5.0,4.0,25.0
54,5.0,6.0,30.0
57,5.0,4.0,50.0
70,5.0,2.0,35.0
130,5.0,2.0,10.0
144,5.0,3.0,15.0
155,5.0,4.0,20.0
202,20.0,5.0,60.0
227,15.0,3.0,35.0
