label,critical_radius_um,peak_intersections,auc
48,5.0,2.0,15.0
61,5.0,2.0,15.0
68,5.0,2.0,20.0
76,5.0,4.0,40.0
77,5.0,2.0,15.0
87,5.0,3.0,20.0
88,5.0,7.0,35.0
90,5.0,5.0,30.0
92,5.0,3.0,25.0
93,5.0,1.0,5.0
104,15.0,6.0,60.0
114,5.0,4.0,25.0
116,5.0,4.0,25.0
119,5.0,2.0,10.0
125,5.0,6.0,65.0
128,10.0,7.0,65.0
134,10.0,4.0,45.0
135,5.0,6.0,55.0
139,10.0,3.0,20.0
140,5.0,2.0,15.0
158,5.0,3.0,15.0
160,5.0,3.0,20.0
161,5.0,2.0,20.0
168,5.0,2.0,15.0
170,5.0,3.0,15.0
172,10.0,5.0,60.0
189,5.0,2.0,15.0
191,5.0,1.0,5.0
193,15.0,5.0,90.0
198,5.0,5.0,40.0
199,5.0,5.0,65.0
