label,critical_radius_um,peak_intersections,auc
9,9.5,11.0,111.0
11,4.5,8.0,25.0
12,9.5,8.0,24.5
13,11.0,18.0,120.0
14,5.0,6.0,20.0
15,2.0,6.0,27.5
16,5.0,8.0,55.0
18,1.0,3.0,17.5
19,6.0,3.0,30.0
23,3.5,5.0,9.5
31,1.5,3.0,40.0
32,4.0,4.0,19.0
33,3.0,5.0,26.5
34,2.0,5.0,33.0
36,6.5,6.0,39.5
41,1.0,4.0,14.5
47,2.0,5.0,35.0
50,3.0,4.0,9.5
51,3.5,6.0,48.0
53,5.5,9.0,61.5
61,4.5,5.0,80.5
76,6.5,6.0,62.5
78,2.5,3.0,10.0
87,3.0,2.0,3.5
89,0.5,3.0,16.0
98,2.0,4.0,43.5
100,6.5,6.0,40.5
111,1.0,3.0,12.5
112,3.0,7.0,25.5
113,1.5,2.0,2.5
114,2.0,3.0,13.0
122,3.0,8.0,49.5
134,2.0,6.0,27.0
136,17.0,6.0,53.5
139,1.5,4.0,43.5
140,1.5,4.0,15.0
141,1.0,3.0,8.5
154,6.5,5.0,20.5
155,21.0,6.0,63.0
158,6.5,6.0,28.5
