label,critical_radius_um,peak_intersections,auc
94,5.0,6.0,23.0
97,4.5,4.0,21.5
101,1.5,4.0,31.5
103,14.0,6.0,49.5
105,3.5,3.0,6.5
106,3.5,6.0,10.5
109,5.5,7.0,9.0
110,2.5,7.0,24.0
111,3.0,4.0,23.5
113,5.5,4.0,21.0
117,4.0,7.0,24.5
119,3.5,5.0,26.5
120,4.0,3.0,11.5
126,5.5,5.0,23.0
132,8.0,5.0,11.0
136,7.5,5.0,27.5
137,4.5,5.0,16.5
138,3.5,4.0,9.0
140,2.5,6.0,19.0
141,3.0,5.0,7.0
144,5.0,4.0,16.5
148,7.5,10.0,43.5
149,8.0,7.0,30.0
150,4.5,9.0,37.5
152,2.5,6.0,35.5
154,3.0,7.0,18.0
157,2.5,6.0,24.0
158,2.0,4.0,23.0
159,8.0,9.0,59.5
160,1.5,3.0,38.0
186,1.5,2.0,11.0
187,1.0,2.0,11.5
188,4.0,5.0,16.5
190,3.5,3.0,15.0
192,2.5,5.0,16.0
204,4.0,7.0,41.0
206,1.5,4.0,19.0
241,7.0,4.0,34.5
265,3.5,5.0,8.5
300,4.0,6.0,13.0
