label,critical_radius_um,peak_intersections,auc
36,5.0,4.0,45.0
38,5.0,5.0,25.0
59,5.0,2.0,15.0
62,5.0,3.0,20.0
92,10.0,5.0,70.0
99,10.0,4.0,40.0
100,5.0,2.0,10.0
102,5.0,6.0,35.0
104,5.0,3.0,15.0
105,5.0,5.0,30.0
107,5.0,3.0,15.0
108,5.0,3.0,30.0
113,5.0,2.0,10.0
115,5.0,2.0,25.0
135,5.0,2.0,15.0
138,0.0,0.0,0.0
139,5.0,7.0,75.0
153,10.0,6.0,90.0
155,15.0,7.0,80.0
164,5.0,4.0,20.0
165,5.0,2.0,20.0
169,5.0,4.0,40.0
170,5.0,3.0,30.0
205,5.0,3.0,35.0
206,15.0,6.0,75.0
217,10.0,4.0,45.0
219,5.0,3.0,30.0
237,5.0,2.0,10.0
238,5.0,2.0,10.0
250,5.0,7.0,55.0
257,5.0,4.0,20.0
277,5.0,5.0,60.0
278,5.0,7.0,110.0
