label,critical_radius_um,peak_intersections,auc
85,20.0,8.0,125.0
95,5.0,4.0,65.0
101,10.0,3.0,70.0
102,10.0,4.0,80.0
103,15.0,5.0,70.0
104,5.0,3.0,20.0
106,10.0,4.0,35.0
107,15.0,16.0,320.0
108,10.0,2.0,15.0
110,10.0,4.0,35.0
113,10.0,6.0,70.0
114,5.0,1.0,5.0
167,10.0,12.0,110.0
168,10.0,2.0,20.0
169,10.0,4.0,35.0
203,30.0,8.0,145.0
205,5.0,4.0,65.0
206,10.0,8.0,120.0
207,15.0,9.0,150.0
208,5.0,2.0,20.0
229,5.0,3.0,15.0
250,20.0,9.0,190.0
251,10.0,7.0,55.0
252,10.0,7.0,85.0
253,5.0,6.0,60.0
266,5.0,6.0,65.0
267,5.0,3.0,25.0
