label,critical_radius_um,peak_intersections,auc
8,2.0,3.0,36.0
10,2.0,2.0,4.0
17,3.0,4.0,25.0
25,3.0,6.0,24.0
28,1.0,4.0,16.0
31,3.0,3.0,10.0
33,1.0,3.0,14.0
35,2.0,3.0,14.0
44,3.0,4.0,28.0
49,1.0,2.0,12.0
83,4.0,4.0,42.0
125,3.0,2.0,32.0
126,2.0,4.0,14.0
133,2.0,5.0,17.0
135,4.0,8.0,27.0
175,3.0,5.0,19.0
180,3.0,4.0,11.0
181,4.0,4.0,13.0
182,5.0,4.0,13.0
194,3.0,5.0,16.0
201,4.0,4.0,18.0
205,4.0,4.0,22.0
212,3.0,3.0,23.0
217,22.0,3.0,26.0
220,2.0,4.0,18.0
227,6.0,4.0,29.0
236,7.0,4.0,52.0
250,1.0,2.0,11.0
